Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,165465543263251,1684642339761,0.009057876,-0.0077494644,-0.20560926,0.9785616
Rot,165465543284033,1684642339761,0.009018538,-0.0077128266,-0.20563692,0.9785564
Rot,165465543564085,1684642339762,0.008987777,-0.007717912,-0.20543674,0.9785987
Rot,165465543584137,1684642339762,0.009045553,-0.0077837813,-0.20536856,0.97861195
Rot,165465552032574,1684642339770,0.009180363,-0.007862277,-0.20452242,0.97878724
Rot,165465552042678,1684642339770,0.009206308,-0.007957269,-0.20443355,0.9788048
Rot,165465559267783,1684642339777,0.009254107,-0.008055573,-0.2060215,0.97847056
Rot,165465559308564,1684642339777,0.009335711,-0.0081505,-0.2059411,0.9784859
Rot,165465569052366,1684642339787,0.009450722,-0.008283648,-0.20267893,0.9791646
Rot,165465569069241,1684642339787,0.009512813,-0.008397675,-0.2025928,0.9791809
Rot,165465581035960,1684642339799,0.009534279,-0.008412394,-0.2000754,0.979698
Rot,165465581051741,1684642339799,0.009560799,-0.008469924,-0.20002316,0.9797079
Rot,165465588471533,1684642339807,0.009620667,-0.008499264,-0.19936664,0.9798409
Rot,165465588491533,1684642339807,0.009668899,-0.008520956,-0.19933972,0.9798457
Rot,165465599783720,1684642339818,0.009706104,-0.00853123,-0.19922523,0.97986853
Rot,165465599811428,1684642339818,0.009730338,-0.00854005,-0.19921485,0.9798703
Rot,165465608204293,1684642339826,0.009765333,-0.008561718,-0.198366,0.980042
Rot,165465608223043,1684642339826,0.009776446,-0.008576299,-0.19835356,0.98004425
Rot,165465618936168,1684642339837,0.009814141,-0.008573857,-0.19774285,0.9801673
Rot,165465618946845,1684642339837,0.00985173,-0.0085800635,-0.19773223,0.980169
Rot,165465628116637,1684642339846,0.009904234,-0.008575906,-0.19713879,0.980288
Rot,165465628135074,1684642339846,0.009945614,-0.008599339,-0.19710645,0.9802939
Rot,165465638260022,1684642339856,0.009962984,-0.008615908,-0.19696635,0.98032176
Rot,165465638279501,1684642339856,0.0099860905,-0.008618847,-0.19696102,0.9803226
Rot,165465648259814,1684642339866,0.009985943,-0.008626685,-0.19814971,0.9800829
Rot,165465648274866,1684642339866,0.0100142285,-0.008656199,-0.19812283,0.9800878
Rot,165465658403355,1684642339877,0.010047832,-0.008729018,-0.19839695,0.9800314
Rot,165465658444553,1684642339877,0.010063846,-0.00879131,-0.1983448,0.9800412
Rot,165465668481012,1684642339887,0.0101005705,-0.008881849,-0.19992755,0.9797184
Rot,165465668800960,1684642339887,0.010161248,-0.008957652,-0.19986203,0.9797304
Rot,165465680134345,1684642339898,0.010206947,-0.009044152,-0.19960609,0.9797813
Rot,165465680157939,1684642339898,0.010237384,-0.00913771,-0.19954039,0.9797935
Rot,165465689311012,1684642339907,0.010266555,-0.009214182,-0.19899341,0.97990376
Rot,165465689343512,1684642339908,0.010329413,-0.009330322,-0.19890566,0.9799198
Rot,165465698871116,1684642339917,0.010387953,-0.009409986,-0.19833966,0.9800331
Rot,165465698890751,1684642339917,0.010419971,-0.009456456,-0.1982942,0.98004156
Rot,165465709662782,1684642339928,0.010443885,-0.009501415,-0.19843498,0.98001236
Rot,165465709709553,1684642339928,0.010479113,-0.00954724,-0.19839776,0.9800191
Rot,165465719310022,1684642339937,0.0105003165,-0.009554923,-0.19850582,0.97999686
