UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165636882649071,1684642511101,-2.2782662,2.3195424,9.327521,0.0,0.0,0.0
UAcc,165636882851676,1684642511101,-2.2878375,2.3315065,9.344272,0.0,0.0,0.0
UAcc,165636882935842,1684642511101,-2.2686949,2.326721,9.332308,0.0,0.0,0.0
UAcc,165636883021623,1684642511101,-2.2639093,2.3338995,9.329915,0.0,0.0,0.0
UAcc,165636883058238,1684642511101,-2.228017,2.379363,9.310772,0.0,0.0,0.0
UAcc,165636883124905,1684642511101,-2.2519453,2.39372,9.325129,0.0,0.0,0.0
UAcc,165636887763342,1684642511106,-2.2375882,2.3961127,9.327521,0.0,0.0,0.0
UAcc,165636889723655,1684642511108,-2.2184458,2.3865414,9.322736,0.0,0.0,0.0
UAcc,165636889823915,1684642511108,-2.225624,2.3769703,9.3155575,0.0,0.0,0.0
UAcc,165636891424228,1684642511110,-2.2208385,2.355435,9.327521,0.0,0.0,0.0
UAcc,165636893770165,1684642511112,-2.2399812,2.353042,9.341879,0.0,0.0,0.0
UAcc,165636897465634,1684642511116,-2.283052,2.3195424,9.313165,0.0,0.0,0.0
UAcc,165636899147144,1684642511117,-2.2974088,2.2932215,9.329915,0.0,0.0,0.0
UAcc,165636901141415,1684642511119,-2.3165514,2.3075783,9.329915,0.0,0.0,0.0
UAcc,165636903342040,1684642511122,-2.335694,2.3003998,9.334701,0.0,0.0,0.0
UAcc,165636905800165,1684642511124,-2.2974088,2.2908285,9.329915,0.0,0.0,0.0
UAcc,165636908179332,1684642511126,-2.2926233,2.269293,9.310772,0.0,0.0,0.0
UAcc,165636913305582,1684642511131,-2.3021946,2.3147569,9.284451,0.0,0.0,0.0
UAcc,165636913604280,1684642511132,-2.295016,2.3027928,9.289237,0.0,0.0,0.0
UAcc,165636915657561,1684642511134,-2.2806592,2.3219352,9.286844,0.0,0.0,0.0
UAcc,165636919222873,1684642511137,-2.2782662,2.3219352,9.320343,0.0,0.0,0.0
UAcc,165636921440946,1684642511140,-2.2854447,2.3243282,9.308379,0.0,0.0,0.0
UAcc,165636923257144,1684642511141,-2.2878375,2.3338995,9.3155575,0.0,0.0,0.0
UAcc,165636925459748,1684642511144,-2.2902303,2.2884357,9.310772,0.0,0.0,0.0
UAcc,165636929339853,1684642511148,-2.3045874,2.2932215,9.334701,0.0,0.0,0.0
UAcc,165636931473915,1684642511150,-2.321337,2.298007,9.322736,0.0,0.0,0.0
UAcc,165636933100530,1684642511151,-2.3165514,2.2836502,9.305986,0.0,0.0,0.0
UAcc,165636935402144,1684642511154,-2.3548367,2.271686,9.322736,0.0,0.0,0.0
UAcc,165636938734905,1684642511157,-2.335694,2.2884357,9.339486,0.0,0.0,0.0
UAcc,165636941402665,1684642511160,-2.3021946,2.2836502,9.349057,0.0,0.0,0.0
UAcc,165636943196728,1684642511161,-2.3189442,2.312364,9.341879,0.0,0.0,0.0
UAcc,165636945446051,1684642511164,-2.295016,2.3219352,9.35145,0.0,0.0,0.0
UAcc,165636950265946,1684642511168,-2.2998016,2.3410778,9.349057,0.0,0.0,0.0
UAcc,165636952081050,1684642511170,-2.2926233,2.3362923,9.339486,0.0,0.0,0.0
UAcc,165636952747821,1684642511171,-2.295016,2.3147569,9.344272,0.0,0.0,0.0
UAcc,165636955295686,1684642511173,-2.3021946,2.3171496,9.368199,0.0,0.0,0.0
UAcc,165636957759280,1684642511176,-2.3189442,2.2836502,9.349057,0.0,0.0,0.0
UAcc,165636962756519,1684642511181,-2.3189442,2.2836502,9.344272,0.0,0.0,0.0
UAcc,165636962922092,1684642511181,-2.3189442,2.2908285,9.339486,0.0,0.0,0.0
UAcc,165636965067665,1684642511183,-2.3045874,2.2956142,9.31795,0.0,0.0,0.0
UAcc,165636968757405,1684642511187,-2.335694,2.2908285,9.31795,0.0,0.0,0.0
UAcc,165636971510321,1684642511190,-2.3165514,2.2525434,9.31795,0.0,0.0,0.0
UAcc,165636972548030,1684642511191,-2.3069801,2.2549362,9.301201,0.0,0.0,0.0
UAcc,165636975197978,1684642511193,-2.2686949,2.298007,9.279665,0.0,0.0,0.0
UAcc,165636977694592,1684642511196,-2.2782662,2.3219352,9.270094,0.0,0.0,0.0
UAcc,165636981393394,1684642511200,-2.2758734,2.338685,9.272487,0.0,0.0,0.0
UAcc,165636982869384,1684642511201,-2.2878375,2.312364,9.274879,0.0,0.0,0.0
UAcc,165636984858863,1684642511203,-2.2782662,2.3195424,9.289237,0.0,0.0,0.0
UAcc,165636987972509,1684642511206,-2.2902303,2.309971,9.305986,0.0,0.0,0.0
UAcc,165636991361155,1684642511210,-2.3045874,2.3219352,9.327521,0.0,0.0,0.0
UAcc,165636992218290,1684642511210,-2.3189442,2.312364,9.334701,0.0,0.0,0.0
UAcc,165636994791467,1684642511213,-2.3045874,2.2884357,9.344272,0.0,0.0,0.0
UAcc,165636998579905,1684642511217,-2.2926233,2.3027928,9.363414,0.0,0.0,0.0
