GameRot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
GameRot,121793918344377,1684598668137,0.0030379791,-0.010261943,-3.0267458E-5,0.9999427
GameRot,121793921942659,1684598668140,0.003063876,-0.0102503095,-3.0568124E-5,0.9999428
GameRot,121793923522346,1684598668142,0.0030732597,-0.010261439,-3.0631032E-5,0.99994266
GameRot,121793927697867,1684598668146,0.0030733512,-0.010258168,-3.064175E-5,0.99994266
GameRot,121793933588388,1684598668152,0.0030685035,-0.010258515,-3.059097E-5,0.99994266
GameRot,121793937885419,1684598668156,0.0030784863,-0.0102429995,-3.0739724E-5,0.99994284
GameRot,121793944190471,1684598668162,0.0030874868,-0.010240915,-3.083813E-5,0.9999428
GameRot,121793947594898,1684598668166,0.0030775098,-0.010214748,-3.0814135E-5,0.9999431
GameRot,121793953886617,1684598668172,0.003054714,-0.010240415,-3.0503994E-5,0.9999429
GameRot,121793957310940,1684598668175,0.0030322568,-0.010258073,-3.0220459E-5,0.9999428
GameRot,121793963293752,1684598668181,0.0030709112,-0.01025398,-3.0629253E-5,0.9999427
GameRot,121793968358752,1684598668187,0.00304684,-0.010262499,-3.0356705E-5,0.99994266
GameRot,121793972868492,1684598668191,0.0030752092,-0.010243948,-3.0703322E-5,0.9999428
GameRot,121793977867346,1684598668196,0.003087497,-0.010214211,-3.0917756E-5,0.9999431
GameRot,121793983420888,1684598668202,0.0030862282,-0.010232739,-3.084959E-5,0.9999429
GameRot,121793987083179,1684598668205,0.0030912508,-0.010254548,-3.0836134E-5,0.99994266
GameRot,121793993281461,1684598668211,0.003092778,-0.010256489,-3.084603E-5,0.99994266
GameRot,121793997484273,1684598668216,0.0031005193,-0.010268835,-3.0888827E-5,0.9999425
GameRot,121794003513961,1684598668222,0.003070645,-0.010241181,-3.0664854E-5,0.99994284
GameRot,121794006743179,1684598668225,0.0030498316,-0.010249792,-3.0425716E-5,0.99994284
GameRot,121794012857971,1684598668231,0.0030424772,-0.0102567915,-3.0329182E-5,0.9999428
GameRot,121794017091148,1684598668235,0.0030485152,-0.010246581,-3.0421925E-5,0.99994284
GameRot,121794023601461,1684598668242,0.003037361,-0.010266648,-3.0246856E-5,0.99994266
GameRot,121794027315627,1684598668245,0.003038301,-0.01025993,-3.0276839E-5,0.9999428
GameRot,121794033566982,1684598668252,0.0030587253,-0.010257863,-3.049262E-5,0.99994266
GameRot,121794037724898,1684598668256,0.0030611213,-0.010260904,-3.0508061E-5,0.99994266
GameRot,121794041861044,1684598668260,0.0030475464,-0.010254195,-3.0389012E-5,0.9999428
GameRot,121794046861825,1684598668265,0.0030500896,-0.010272282,-3.0360561E-5,0.99994254
GameRot,121794051691461,1684598668270,0.0030375724,-0.010279646,-3.0209667E-5,0.99994254
GameRot,121794056454273,1684598668275,0.0030332552,-0.0102788275,-3.0167772E-5,0.9999426
GameRot,121794061531669,1684598668280,0.0030279653,-0.010286215,-3.0090956E-5,0.9999425
GameRot,121794066540575,1684598668285,0.0030303074,-0.010287527,-3.011107E-5,0.9999425
GameRot,121794071261617,1684598668289,0.003029145,-0.010295229,-3.0075727E-5,0.9999424
GameRot,121794076500888,1684598668295,0.0030241269,-0.01029447,-3.0026367E-5,0.9999424
GameRot,121794081194117,1684598668299,0.0030247492,-0.010314351,-2.9972325E-5,0.99994224
GameRot,121794086947763,1684598668305,0.0030133678,-0.010319312,-2.9839788E-5,0.99994224
GameRot,121794091532919,1684598668310,0.0030182446,-0.010327691,-2.9864583E-5,0.99994206
GameRot,121794096188648,1684598668314,0.003021884,-0.010344519,-2.985096E-5,0.99994195
GameRot,121794100901357,1684598668319,0.0030255748,-0.010357501,-2.9849682E-5,0.99994177
GameRot,121794106002450,1684598668324,0.0030300545,-0.010365437,-2.9871992E-5,0.9999417
GameRot,121794110631200,1684598668329,0.0030186514,-0.010370675,-2.9737834E-5,0.9999417
GameRot,121794116588336,1684598668335,0.0030264955,-0.010375134,-2.9805638E-5,0.9999416
GameRot,121794121205992,1684598668339,0.0030304554,-0.010368241,-2.9867639E-5,0.99994165
GameRot,121794126056929,1684598668344,0.0030281157,-0.010368212,-2.9843472E-5,0.9999417
GameRot,121794130456200,1684598668349,0.003032539,-0.010362747,-2.9905907E-5,0.9999417
GameRot,121794136279221,1684598668354,0.0030112916,-0.010381727,-2.9627747E-5,0.9999416
GameRot,121794140491565,1684598668359,0.0030077216,-0.010391987,-2.9559316E-5,0.99994147
GameRot,121794146439221,1684598668365,0.0030129764,-0.010391799,-2.96145E-5,0.99994147
GameRot,121794150606356,1684598668369,0.0030142018,-0.01038662,-2.9643037E-5,0.9999415
GameRot,121794155205575,1684598668373,0.0030165492,-0.010385207,-2.9671728E-5,0.9999415
GameRot,121794160635992,1684598668379,0.0030115931,-0.010390652,-2.9603627E-5,0.99994147
GameRot,121794165764377,1684598668384,0.0030159107,-0.010408996,-2.9592558E-5,0.9999413
GameRot,121794170433596,1684598668389,0.0030104653,-0.010415408,-2.9516277E-5,0.99994123
GameRot,121794175436200,1684598668394,0.0030022862,-0.010420824,-2.9414496E-5,0.9999412
GameRot,121794180124221,1684598668398,0.0029961853,-0.010432709,-2.9314442E-5,0.9999411
GameRot,121794185234221,1684598668403,0.0029956964,-0.010436088,-2.9298977E-5,0.99994105
