UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,156923042895959,1684633797261,1.8014964,4.9803615,9.026026,0.0,0.0,0.0
UAcc,156923043023668,1684633797261,1.7943178,4.9588256,9.014062,0.0,0.0,0.0
UAcc,156923048038772,1684633797266,1.8349959,4.9253263,9.004491,0.0,0.0,0.0
UAcc,156923048090751,1684633797266,1.8852451,4.903791,8.982955,0.0,0.0,0.0
UAcc,156923057365490,1684633797276,1.9618155,4.887041,8.94467,0.0,0.0,0.0
UAcc,156923057515282,1684633797276,2.0168505,4.8966126,8.920742,0.0,0.0,0.0
UAcc,156923059378407,1684633797278,2.0383859,4.903791,8.92792,0.0,0.0,0.0
UAcc,156923059402522,1684633797278,2.079064,4.8583274,8.906385,0.0,0.0,0.0
UAcc,156923059429970,1684633797278,2.1388843,4.872684,8.908778,0.0,0.0,0.0
UAcc,156923061119136,1684633797279,2.2130618,4.846363,8.894421,0.0,0.0,0.0
UAcc,156923061983511,1684633797280,2.2992034,4.8032923,8.856135,0.0,0.0,0.0
UAcc,156923064878459,1684633797283,2.3566313,4.7769713,8.820244,0.0,0.0,0.0
UAcc,156923067007001,1684633797285,2.4020948,4.7458644,8.769994,0.0,0.0,0.0
UAcc,156923069461220,1684633797288,2.4690938,4.714758,8.717352,0.0,0.0,0.0
UAcc,156923071729709,1684633797290,2.536093,4.6764727,8.681459,0.0,0.0,0.0
UAcc,156923074302001,1684633797292,2.6054847,4.6429734,8.624032,0.0,0.0,0.0
UAcc,156923077102522,1684633797295,2.6461627,4.621438,8.5474615,0.0,0.0,0.0
UAcc,156923079337574,1684633797298,2.710769,4.631009,8.482856,0.0,0.0,0.0
UAcc,156923081797157,1684633797300,2.7610183,4.645366,8.413464,0.0,0.0,0.0
UAcc,156923085227886,1684633797303,2.7897322,4.616652,8.320144,0.0,0.0,0.0
UAcc,156923086903511,1684633797305,2.842374,4.6286163,8.245966,0.0,0.0,0.0
UAcc,156923089611532,1684633797308,2.8782666,4.631009,8.186146,0.0,0.0,0.0
UAcc,156923091921793,1684633797310,2.911766,4.65733,8.152646,0.0,0.0,0.0
UAcc,156923094954397,1684633797313,2.9141588,4.671687,8.128717,0.0,0.0,0.0
UAcc,156923096652470,1684633797315,2.8950162,4.712365,8.090432,0.0,0.0,0.0
UAcc,156923099125022,1684633797317,2.842374,4.724329,8.076076,0.0,0.0,0.0
UAcc,156923101899813,1684633797320,2.7873392,4.741079,8.068897,0.0,0.0,0.0
UAcc,156923104305959,1684633797322,2.7681966,4.7458644,8.052147,0.0,0.0,0.0
