GameRot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
GameRot,156923043053772,1684633797261,0.2696734,0.12815845,0.6985395,0.65030324
GameRot,156923057434449,1684633797276,0.26760796,0.12728226,0.69917095,0.65064985
GameRot,156923059318511,1684633797277,0.26579893,0.12642504,0.69983166,0.65084815
GameRot,156923059656376,1684633797278,0.2643612,0.12555371,0.70051384,0.6508685
GameRot,156923061143772,1684633797279,0.26314908,0.12474243,0.7012021,0.65077454
GameRot,156923064891063,1684633797283,0.26218176,0.123905316,0.7019111,0.6505605
GameRot,156923069619449,1684633797288,0.2614665,0.12296251,0.70265204,0.6502274
GameRot,156923074459345,1684633797293,0.26095873,0.121986166,0.7033891,0.64981824
GameRot,156923079524397,1684633797298,0.260651,0.12092113,0.7041174,0.64935184
GameRot,156923085281740,1684633797303,0.26055485,0.11983735,0.70479596,0.648855
GameRot,156923089593511,1684633797308,0.2606721,0.118775256,0.70539176,0.6483556
GameRot,156923094934865,1684633797313,0.2609566,0.11773239,0.705895,0.6478835
GameRot,156923099162834,1684633797317,0.26131284,0.116742715,0.7062978,0.64747983
GameRot,156923104347365,1684633797323,0.26162824,0.1159164,0.70659417,0.6471775
GameRot,156923109795803,1684633797328,0.2617982,0.11525727,0.70681244,0.6469881
GameRot,156923114303876,1684633797332,0.2618213,0.11471655,0.706989,0.64688194
GameRot,156923119442834,1684633797338,0.26158276,0.11430891,0.70715606,0.646868
GameRot,156923125290490,1684633797343,0.26105988,0.11409414,0.7073174,0.6469407
GameRot,156923129808772,1684633797348,0.26029396,0.11408695,0.7074774,0.64707583
GameRot,156923134073720,1684633797352,0.25933954,0.1142841,0.7076268,0.6472607
GameRot,156923139329553,1684633797358,0.25829744,0.11459141,0.707785,0.64745015
GameRot,156923144608407,1684633797363,0.2572543,0.114958756,0.70795184,0.6476178
GameRot,156923149186740,1684633797367,0.25626534,0.11531889,0.7081413,0.64773875
GameRot,156923153713407,1684633797372,0.25533497,0.11565592,0.7083509,0.6478169
GameRot,156923159574501,1684633797378,0.25448596,0.1159081,0.7085952,0.6478387
GameRot,156923163442001,1684633797382,0.2536725,0.116062425,0.70888895,0.64780885
GameRot,156923170056636,1684633797388,0.25291002,0.11611216,0.7092214,0.6477341
GameRot,156923173683772,1684633797392,0.2522144,0.11604883,0.70958257,0.64762115
GameRot,156923179555282,1684633797398,0.25161743,0.115892,0.709938,0.64749193
GameRot,156923184583928,1684633797403,0.25114113,0.11565296,0.71025914,0.64736736
GameRot,156923189771376,1684633797408,0.2507952,0.11537641,0.7105208,0.64726365
GameRot,156923193237522,1684633797411,0.25057706,0.11508742,0.7107096,0.6471923
GameRot,156923200833303,1684633797419,0.25048837,0.11483754,0.7108164,0.64715374
GameRot,156923203098043,1684633797421,0.25048745,0.11466718,0.7108415,0.6471567
GameRot,156923209443668,1684633797428,0.25049594,0.11464525,0.71079916,0.6472039
GameRot,156923213055959,1684633797431,0.2505109,0.114781916,0.71071035,0.64727134
GameRot,156923219293147,1684633797437,0.25055808,0.11506032,0.71058756,0.6473385
GameRot,156923222921011,1684633797441,0.25058147,0.11546428,0.7104444,0.64741457
GameRot,156923229175647,1684633797447,0.2505653,0.11596654,0.7102924,0.64749783
GameRot,156923232874917,1684633797451,0.25043878,0.116538614,0.71016264,0.6475865
GameRot,156923237763928,1684633797456,0.2501893,0.117197044,0.7100702,0.64766544
GameRot,156923242852522,1684633797461,0.24988367,0.11793898,0.7100133,0.6477111
GameRot,156923247649501,1684633797466,0.24954046,0.118717805,0.7100033,0.64771205
GameRot,156923253073199,1684633797471,0.24918924,0.11949166,0.7100394,0.64766544
GameRot,156923257531584,1684633797476,0.24886334,0.12022406,0.7101251,0.64756125
GameRot,156923262392522,1684633797481,0.24859673,0.1208835,0.71026003,0.6473929
GameRot,156923267472886,1684633797486,0.24843353,0.121450834,0.71043265,0.6471598
GameRot,156923272401272,1684633797491,0.24839844,0.12193514,0.710626,0.6468699
GameRot,156923277665803,1684633797496,0.24845186,0.122343004,0.71083605,0.64654166
GameRot,156923282108824,1684633797500,0.24857053,0.12269294,0.7110556,0.6461881
GameRot,156923287224136,1684633797505,0.24872613,0.12300332,0.7112798,0.64582235
GameRot,156923292008876,1684633797510,0.24895251,0.123317935,0.71147627,0.64545864
GameRot,156923297568772,1684633797516,0.24925537,0.12364308,0.7116255,0.6451149
GameRot,156923302474709,1684633797521,0.24961233,0.123997144,0.71172214,0.6448023
GameRot,156923306856115,1684633797525,0.2500099,0.12436051,0.7117743,0.64452064
GameRot,156923312161220,1684633797530,0.25045338,0.12474728,0.7117764,0.6442714
GameRot,156923316863980,1684633797535,0.2509178,0.12518679,0.71173155,0.6440549
GameRot,156923322030074,1684633797540,0.25140575,0.12564532,0.71166414,0.64384985
GameRot,156923326663355,1684633797545,0.25191963,0.12612763,0.7115849,0.6436422
GameRot,156923331588303,1684633797550,0.25244406,0.1266233,0.71149766,0.6434358
GameRot,156923337211897,1684633797555,0.2529889,0.12713186,0.7114028,0.64322644
GameRot,156923341683615,1684633797560,0.2535189,0.12761445,0.71130204,0.6430335
GameRot,156923346648928,1684633797565,0.25401068,0.12806176,0.71120214,0.64286095
GameRot,156923351355230,1684633797570,0.2543968,0.12849446,0.7111093,0.64272475
GameRot,156923356595595,1684633797575,0.25466102,0.12890503,0.71103525,0.6426198
GameRot,156923361640855,1684633797580,0.2547867,0.12930089,0.71098346,0.6425477
GameRot,156923366332782,1684633797585,0.2547469,0.12965329,0.71096873,0.6425088
GameRot,156923371096740,1684633797589,0.2545222,0.12995403,0.71099406,0.64250904
GameRot,156923376130907,1684633797594,0.25413358,0.13019116,0.71106154,0.64254016
GameRot,156923381317678,1684633797599,0.25367397,0.13032866,0.7111513,0.6425946
GameRot,156923386095855,1684633797604,0.2532197,0.1303451,0.7112409,0.6426712
GameRot,156923391086636,1684633797609,0.25284433,0.13023551,0.7113023,0.64277333
GameRot,156923395836532,1684633797614,0.25261018,0.13001928,0.7113142,0.64289606
GameRot,156923400971740,1684633797619,0.25254595,0.12971185,0.7112668,0.6430357
GameRot,156923406130855,1684633797624,0.25264952,0.12931935,0.7111544,0.6431983
GameRot,156923410708824,1684633797629,0.25286892,0.12894754,0.7109802,0.64337933
GameRot,156923415689917,1684633797634,0.25313497,0.12865672,0.7107662,0.6435694
GameRot,156923425745907,1684633797644,0.25343445,0.12842323,0.7103426,0.64396566
GameRot,156923425763980,1684633797644,0.25363412,0.12849537,0.71029973,0.64391994
GameRot,156923430854397,1684633797649,0.25382525,0.12864457,0.71007884,0.6440585
GameRot,156923435822626,1684633797654,0.25397232,0.12892488,0.7098845,0.64415866
GameRot,156923440477053,1684633797659,0.25404766,0.12929872,0.70973724,0.6442163
GameRot,156923445334865,1684633797664,0.25405926,0.12973511,0.70964515,0.6442254
GameRot,156923450506115,1684633797669,0.25400996,0.13016531,0.70962405,0.6441813
GameRot,156923455638459,1684633797674,0.25390255,0.13057005,0.7096785,0.64408195
GameRot,156923460339240,1684633797679,0.25371343,0.13092966,0.7098189,0.6439286
GameRot,156923466967209,1684633797685,0.253459,0.13126396,0.710023,0.6437357
GameRot,156923470129084,1684633797688,0.25317007,0.13157023,0.71026856,0.64351594
GameRot,156923474972990,1684633797693,0.25291458,0.13182728,0.71051425,0.64329255
GameRot,156923480180178,1684633797698,0.25273886,0.13200995,0.7107285,0.6430873
GameRot,156923484862469,1684633797703,0.2526542,0.13214283,0.7108844,0.6429212
GameRot,156923490002730,1684633797708,0.25264922,0.13226189,0.7109633,0.64281124
GameRot,156923494708563,1684633797713,0.25269836,0.13240197,0.7109785,0.64274627
GameRot,156923499672522,1684633797718,0.25279844,0.13261619,0.71093374,0.6427124
GameRot,156923505277626,1684633797723,0.25293636,0.13288845,0.71084654,0.6426982
GameRot,156923509948042,1684633797728,0.25309923,0.13320169,0.710734,0.6426938
GameRot,156923514910959,1684633797733,0.2532663,0.13356291,0.7106016,0.6426993
GameRot,156923519621740,1684633797738,0.25341165,0.13394016,0.71047014,0.6427089
GameRot,156923524687834,1684633797743,0.25352013,0.13430029,0.7103619,0.64271057
GameRot,156923529754761,1684633797748,0.25356492,0.13463853,0.7102866,0.64270544
GameRot,156923534651844,1684633797753,0.25351703,0.13493347,0.7102647,0.64268667
GameRot,156923539485855,1684633797758,0.253381,0.13516964,0.71030664,0.6426442
GameRot,156923544254813,1684633797762,0.25317016,0.13533504,0.71041,0.6425783
GameRot,156923549909449,1684633797768,0.25291514,0.13541445,0.7105661,0.64248943
GameRot,156923554405178,1684633797773,0.25261325,0.13540284,0.71076363,0.64239216
GameRot,156923559789136,1684633797778,0.2522672,0.13531655,0.7109895,0.6422963
GameRot,156923564193511,1684633797782,0.25189894,0.13519084,0.7112202,0.6422119
GameRot,156923569564813,1684633797788,0.25152192,0.13504602,0.7114524,0.642133
GameRot,156923573996844,1684633797792,0.25118363,0.1348931,0.71167296,0.6420532
GameRot,156923579738928,1684633797798,0.25090757,0.13472378,0.7118813,0.64196575
GameRot,156923584140542,1684633797802,0.25067458,0.13457523,0.7120672,0.64188164
GameRot,156923590535022,1684633797809,0.25050104,0.1344498,0.7122381,0.6417861
GameRot,156923593614084,1684633797812,0.25038442,0.13434513,0.7123917,0.6416831
GameRot,156923599323147,1684633797817,0.25033584,0.13424975,0.7125316,0.6415666
GameRot,156923603529553,1684633797822,0.2503431,0.13415892,0.7126531,0.6414478
GameRot,156923609562313,1684633797828,0.2504151,0.13405536,0.7127507,0.64133286
GameRot,156923613409032,1684633797832,0.25055715,0.13394576,0.712815,0.6412288
GameRot,156923619472365,1684633797838,0.2507639,0.13380106,0.7128508,0.6411385
GameRot,156923623395751,1684633797842,0.25103,0.1336536,0.71285194,0.64106375
GameRot,156923629748199,1684633797848,0.25133792,0.13350472,0.71282643,0.64100254
GameRot,156923633185074,1684633797851,0.25164893,0.13337696,0.7127852,0.6409529
GameRot,156923639603147,1684633797858,0.25192755,0.13331135,0.7127417,0.64090556
GameRot,156923643312053,1684633797861,0.2521294,0.13330068,0.7127186,0.640854
GameRot,156923649927417,1684633797868,0.252251,0.13335861,0.7127253,0.64078665
GameRot,156923654838511,1684633797873,0.25229695,0.1334399,0.71276927,0.6407028
GameRot,156923659248199,1684633797877,0.2522817,0.1335513,0.7128309,0.64061695
GameRot,156923663219657,1684633797881,0.2522365,0.13366099,0.71289736,0.6405379
GameRot,156923667930803,1684633797886,0.25216043,0.13374524,0.7129638,0.6404763
GameRot,156923673536324,1684633797892,0.2520597,0.1338081,0.7130129,0.6404483
GameRot,156923678229240,1684633797896,0.25193566,0.13384472,0.71303624,0.64046335
GameRot,156923683545438,1684633797902,0.25178513,0.1338571,0.7130336,0.6405229
GameRot,156923688138146,1684633797906,0.25164238,0.13383123,0.71300536,0.6406159
GameRot,156923692746844,1684633797911,0.2515062,0.13377552,0.71294844,0.64074427
GameRot,156923697721636,1684633797916,0.25138843,0.13366894,0.7128604,0.64091074
GameRot,156923702599865,1684633797921,0.25129595,0.13351756,0.71274054,0.64111185
GameRot,156923711806324,1684633797930,0.2512346,0.13330485,0.7125994,0.641337
GameRot,156923712387001,1684633797931,0.25120407,0.13302214,0.71244395,0.6415802
GameRot,156923717390438,1684633797936,0.25119653,0.13264084,0.7122781,0.64184624
GameRot,156923723264865,1684633797941,0.25117436,0.13217613,0.7120898,0.64215976
GameRot,156923726947574,1684633797945,0.25107723,0.13166417,0.71188724,0.64252734
GameRot,156923732401167,1684633797951,0.25092927,0.13113512,0.71167284,0.6429306
GameRot,156923737022105,1684633797955,0.25075454,0.13057551,0.7114499,0.64335924
GameRot,156923742021584,1684633797960,0.25056204,0.13000199,0.7112148,0.6438102
GameRot,156923746802938,1684633797965,0.25032848,0.12943737,0.7109698,0.64428526
GameRot,156923752350490,1684633797971,0.25006816,0.12892525,0.71071756,0.64476717
GameRot,156923758791428,1684633797977,0.24977562,0.12848079,0.7104615,0.6452513
GameRot,156923762423042,1684633797981,0.24948834,0.12811974,0.71019715,0.6457251
GameRot,156923766571949,1684633797985,0.24921782,0.12782383,0.7099266,0.6461855
GameRot,156923771521376,1684633797990,0.2489705,0.12758401,0.709654,0.64662755
GameRot,156923776670282,1684633797995,0.24874477,0.1273821,0.7093883,0.64704573
GameRot,156923781703251,1684633798000,0.24853593,0.12719285,0.70914507,0.64742965
GameRot,156923786449344,1684633798005,0.24837825,0.12699966,0.70892936,0.64776427
GameRot,156923791236271,1684633798009,0.24827616,0.1267987,0.70874345,0.6480461
GameRot,156923796201219,1684633798014,0.24825817,0.12658942,0.7085734,0.6482799
GameRot,156923802332001,1684633798021,0.24832016,0.1263669,0.7084046,0.6484839
GameRot,156923806167834,1684633798024,0.24844922,0.12613268,0.7082272,0.64867383
GameRot,156923811105699,1684633798029,0.24863626,0.12590578,0.70802927,0.64886224
GameRot,156923816589761,1684633798035,0.24884856,0.12567791,0.70781356,0.6490603
GameRot,156923821233459,1684633798039,0.24906571,0.1254758,0.7075751,0.64927614
GameRot,156923826297001,1684633798044,0.2492695,0.12530683,0.70732,0.64950854
GameRot,156923830864501,1684633798049,0.24946411,0.12517919,0.707047,0.6497557
GameRot,156923836308094,1684633798054,0.24966356,0.12507766,0.7067614,0.6500093
GameRot,156923841498042,1684633798060,0.24988846,0.124990694,0.7064619,0.65026504
GameRot,156923845790021,1684633798064,0.2501307,0.12490866,0.7061453,0.65053153
GameRot,156923850973980,1684633798069,0.25039017,0.124837615,0.70581466,0.6508041
GameRot,156923855636844,1684633798074,0.250663,0.12478382,0.7054666,0.6510866
GameRot,156923860823355,1684633798079,0.2509374,0.12475227,0.7051116,0.6513716
GameRot,156923865722053,1684633798084,0.25121298,0.12476106,0.70474404,0.65166134
GameRot,156923870697417,1684633798089,0.25143608,0.124809206,0.70438516,0.65195405
GameRot,156923875957886,1684633798094,0.25160456,0.12491151,0.70403475,0.65224797
GameRot,156923880333876,1684633798099,0.2516981,0.12507217,0.7037035,0.6525384
GameRot,156923885367209,1684633798104,0.25171584,0.12528428,0.7033945,0.65282404
GameRot,156923891046584,1684633798109,0.25167418,0.12554264,0.7031059,0.65310127
GameRot,156923895273928,1684633798113,0.25158098,0.12584034,0.70282745,0.65337956
GameRot,156923900345855,1684633798119,0.2514585,0.12616381,0.7025575,0.6536545
GameRot,156923905292261,1684633798123,0.25129256,0.12649663,0.70229024,0.65394115
GameRot,156923910511532,1684633798129,0.25110808,0.12682267,0.7020221,0.6542368
GameRot,156923915011948,1684633798133,0.25093624,0.12711804,0.7017501,0.6545371
GameRot,156923921052573,1684633798139,0.25080088,0.1273637,0.7014692,0.6548423
GameRot,156923925739917,1684633798144,0.2507255,0.12753579,0.7011732,0.6551546
GameRot,156923930234865,1684633798148,0.25069976,0.12762058,0.70086676,0.6554757
GameRot,156923935895438,1684633798154,0.25071016,0.12763813,0.7005462,0.65581095
GameRot,156923939744709,1684633798158,0.2507516,0.1276003,0.7002191,0.6561517
GameRot,156923944940230,1684633798163,0.25082314,0.12753326,0.6998796,0.65649956
GameRot,156923949777261,1684633798168,0.25090072,0.12745777,0.69952965,0.65685743
GameRot,156923954793459,1684633798173,0.2509919,0.12738393,0.6991655,0.65722436
GameRot,156923959505282,1684633798178,0.25108293,0.12733121,0.69878596,0.65760344
GameRot,156923964747469,1684633798183,0.25117472,0.12731777,0.6983824,0.6579996
GameRot,156923969405021,1684633798188,0.25122905,0.12736708,0.6979633,0.65841377
GameRot,156923974412886,1684633798193,0.25124568,0.12747578,0.6975455,0.6588291
GameRot,156923979978771,1684633798198,0.25123197,0.12762779,0.6971343,0.65924
GameRot,156923984342261,1684633798203,0.25118157,0.1278213,0.6967363,0.65964234
GameRot,156923990142209,1684633798208,0.2511116,0.12803444,0.6963612,0.6600237
GameRot,156923994283511,1684633798212,0.25101984,0.12826335,0.6960113,0.66038305
GameRot,156923999817469,1684633798218,0.25092006,0.12851515,0.6956816,0.6607194
GameRot,156924006626376,1684633798225,0.25083253,0.12876946,0.6953692,0.66103196
GameRot,156924012600386,1684633798231,0.25075904,0.1290215,0.6950686,0.6613267
GameRot,156924014300178,1684633798232,0.25070378,0.12929471,0.69476587,0.66161233
GameRot,156924019825803,1684633798238,0.25065675,0.1295824,0.69445574,0.6618994
GameRot,156924024200386,1684633798242,0.2506092,0.12988567,0.69413567,0.66219366
GameRot,156924029760021,1684633798248,0.25056168,0.13019586,0.69381064,0.6624912
GameRot,156924033868823,1684633798252,0.25050274,0.13051206,0.69347435,0.66280335
GameRot,156924039592730,1684633798258,0.25042263,0.13080855,0.69313616,0.6631289
GameRot,156924043859917,1684633798262,0.2503263,0.13108635,0.69279486,0.66346693
GameRot,156924049930594,1684633798268,0.25021017,0.1313372,0.692457,0.66381377
GameRot,156924053935073,1684633798272,0.25009787,0.13154157,0.69212604,0.66416067
GameRot,156924060647626,1684633798279,0.25000575,0.13171598,0.6917915,0.66450936
GameRot,156924063521688,1684633798282,0.24995068,0.13184507,0.69145304,0.6648565
GameRot,156924069987469,1684633798288,0.2499538,0.13193247,0.69110096,0.6652041
GameRot,156924073243876,1684633798291,0.2500372,0.13198918,0.69071555,0.6655616
GameRot,156924079724240,1684633798298,0.25016293,0.1320258,0.69029474,0.6659436
GameRot,156924083050855,1684633798301,0.25033692,0.1320673,0.6898272,0.66635436
GameRot,156924090356011,1684633798309,0.25054726,0.13213073,0.689316,0.66679156
GameRot,156924094045490,1684633798312,0.25076276,0.13221353,0.68876994,0.6672583
GameRot,156924098934917,1684633798317,0.25096554,0.13235565,0.6881855,0.6677567
GameRot,156924103076844,1684633798321,0.251136,0.13255751,0.6875711,0.66828525
GameRot,156924107746896,1684633798326,0.25126666,0.13279808,0.6869448,0.6688323
