GameRot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
GameRot,165465543252314,1684642339761,0.011387901,0.0033372787,0.70710063,0.70701337
GameRot,165465543392053,1684642339762,0.011376024,0.0033064145,0.707101,0.7070133
GameRot,165465543572470,1684642339762,0.011462996,0.0033179885,0.7071004,0.7070125
GameRot,165465547969033,1684642339766,0.011605351,0.0033779137,0.70709884,0.7070114
GameRot,165465551991480,1684642339770,0.011699348,0.0033465668,0.7070986,0.70701027
GameRot,165465552905126,1684642339771,0.011802354,0.0033518996,0.7070979,0.7070092
GameRot,165465559300595,1684642339777,0.011926715,0.0033674329,0.707097,0.707008
GameRot,165465562586949,1684642339781,0.012112299,0.003350701,0.70709604,0.70700586
GameRot,165465569078147,1684642339787,0.012241984,0.003338924,0.7070953,0.7070044
GameRot,165465572828980,1684642339791,0.012274637,0.0033172492,0.7070954,0.70700383
GameRot,165465578255387,1684642339796,0.01233743,0.0033070098,0.7070951,0.7070031
GameRot,165465583063095,1684642339801,0.0123971505,0.0033324773,0.7070945,0.7070026
GameRot,165465587489293,1684642339806,0.01244195,0.0033603853,0.7070939,0.7070022
GameRot,165465592805387,1684642339811,0.012471446,0.003384283,0.7070934,0.70700204
GameRot,165465599631689,1684642339818,0.012492214,0.003399488,0.7070931,0.7070019
GameRot,165465602595335,1684642339821,0.012532554,0.0034058564,0.70709276,0.7070015
GameRot,165465608078928,1684642339826,0.012550891,0.0034069002,0.7070927,0.70700127
GameRot,165465612252158,1684642339830,0.012571832,0.003431829,0.7070923,0.7070012
GameRot,165465618878928,1684642339837,0.012597836,0.0034595688,0.7070918,0.70700103
GameRot,165465622011012,1684642339840,0.0126255425,0.0034979582,0.7070913,0.707001
GameRot,165465626991376,1684642339845,0.012668085,0.0035190198,0.70709074,0.7070006
GameRot,165465631790230,1684642339850,0.0126920035,0.003522496,0.70709056,0.7070004
GameRot,165465636862470,1684642339855,0.012707269,0.0035400358,0.70709026,0.70700026
GameRot,165465641752783,1684642339860,0.012709415,0.0035509858,0.7070901,0.7070003
GameRot,165465646872626,1684642339865,0.012749745,0.003557887,0.7070898,0.7069999
GameRot,165465651813928,1684642339870,0.012828005,0.0035492186,0.7070894,0.7069989
GameRot,165465656655439,1684642339875,0.012888953,0.0035274609,0.7070893,0.706998
GameRot,165465661583668,1684642339880,0.012979019,0.0035289975,0.7070887,0.7069969
GameRot,165465666627053,1684642339885,0.013075951,0.0035369531,0.70708805,0.7069958
GameRot,165465671762262,1684642339890,0.013174227,0.003523946,0.7070876,0.7069945
GameRot,165465676530960,1684642339895,0.013269282,0.0034968422,0.7070872,0.70699316
GameRot,165465681331845,1684642339900,0.013351096,0.0034715391,0.70708704,0.706992
GameRot,165465686497887,1684642339905,0.013482938,0.0034586238,0.7070864,0.7069902
GameRot,165465691670543,1684642339910,0.013583675,0.0034555974,0.7070858,0.7069889
GameRot,165465696303407,1684642339914,0.0136402575,0.0034559674,0.7070854,0.70698816
GameRot,165465701165595,1684642339919,0.013690446,0.0034530151,0.7070852,0.70698744
GameRot,165465706709553,1684642339925,0.013748236,0.003456533,0.7070848,0.70698667
GameRot,165465710902105,1684642339929,0.013765975,0.003471475,0.7070845,0.70698655
GameRot,165465715876064,1684642339934,0.013761889,0.0034889511,0.7070843,0.7069867
GameRot,165465720707939,1684642339939,0.013755465,0.0034994748,0.7070842,0.7069869
GameRot,165465726017887,1684642339944,0.013738247,0.0035015952,0.7070843,0.7069871
GameRot,165465730971012,1684642339949,0.013712524,0.0034956837,0.7070845,0.70698744
GameRot,165465735659970,1684642339954,0.013700346,0.0034985738,0.70708466,0.70698756
GameRot,165465740613564,1684642339959,0.013679668,0.0034926794,0.7070848,0.70698786
GameRot,165465745404970,1684642339964,0.013675527,0.003497337,0.7070848,0.7069879
GameRot,165465751738876,1684642339970,0.0136647625,0.0035039047,0.7070848,0.7069881
GameRot,165465755682887,1684642339974,0.013646923,0.0035239991,0.70708466,0.70698845
GameRot,165465760276532,1684642339978,0.013642098,0.0035421299,0.7070845,0.70698863
GameRot,165465765454085,1684642339984,0.013654286,0.0035244185,0.7070846,0.70698833
GameRot,165465770068772,1684642339988,0.013645503,0.0035221202,0.7070847,0.70698845
GameRot,165465776633407,1684642339995,0.013622458,0.0035145844,0.7070849,0.7069887
GameRot,165465780864397,1684642339999,0.013585777,0.0035231784,0.707085,0.7069893
GameRot,165465785038199,1684642340003,0.013545658,0.0035286667,0.70708525,0.7069898
GameRot,165465790263095,1684642340008,0.013493178,0.0035443108,0.7070854,0.7069906
GameRot,165465794857626,1684642340013,0.013430385,0.0035505183,0.70708567,0.70699143
GameRot,165465800562157,1684642340019,0.013388087,0.0035512368,0.7070859,0.706992
GameRot,165465804935126,1684642340023,0.013350526,0.0035556185,0.7070861,0.7069925
GameRot,165465809897991,1684642340028,0.013307733,0.0035571973,0.7070863,0.70699304
GameRot,165465815136168,1684642340033,0.013259041,0.0035567835,0.7070866,0.70699364
GameRot,165465819972782,1684642340038,0.013236576,0.0035644702,0.70708674,0.70699394
GameRot,165465824942574,1684642340043,0.013200739,0.0035611584,0.707087,0.7069944
GameRot,165465829965751,1684642340048,0.013195676,0.0035674958,0.7070869,0.70699453
GameRot,165465834677262,1684642340053,0.013190516,0.0035760095,0.7070869,0.7069946
GameRot,165465839428095,1684642340058,0.013161443,0.0035614364,0.70708716,0.7069949
GameRot,165465844273407,1684642340062,0.013107225,0.003572976,0.70708746,0.7069956
GameRot,165465849714762,1684642340068,0.0129991835,0.0035920565,0.7070879,0.70699704
GameRot,165465855150335,1684642340073,0.012870677,0.0036060128,0.70708853,0.70699877
GameRot,165465859483824,1684642340078,0.0127826305,0.0036156855,0.70708895,0.70699984
GameRot,165465864014762,1684642340082,0.012710868,0.0036201423,0.7070894,0.7070007
GameRot,165465868900543,1684642340087,0.012608688,0.0036390398,0.7070897,0.70700204
GameRot,165465874221480,1684642340092,0.012542613,0.0036401062,0.70709014,0.7070028
GameRot,165465879251324,1684642340097,0.0125036845,0.0036260022,0.7070905,0.7070032
GameRot,165465884281689,1684642340102,0.012453799,0.0036368566,0.7070907,0.70700383
GameRot,165465890742470,1684642340109,0.01245597,0.003638884,0.7070907,0.70700383
GameRot,165465893913355,1684642340112,0.01251001,0.0036270714,0.7070905,0.7070031
GameRot,165465900273772,1684642340118,0.012558625,0.003607517,0.70709044,0.7070024
GameRot,165465904306845,1684642340122,0.0125854155,0.003589342,0.7070905,0.70700204
GameRot,165465910029449,1684642340128,0.012603211,0.0035888269,0.7070904,0.7070018
GameRot,165465913846532,1684642340132,0.012599614,0.0036236704,0.70709,0.70700204
GameRot,165465919782053,1684642340138,0.012605423,0.0036499177,0.7070897,0.7070021
GameRot,165465924036324,1684642340142,0.012627591,0.0036529652,0.7070895,0.70700186
GameRot,165465931265022,1684642340149,0.012653223,0.003641589,0.70708954,0.7070015
GameRot,165465934113303,1684642340152,0.012656026,0.003628987,0.70708525,0.70700574
GameRot,165465939154657,1684642340157,0.012650401,0.0036059942,0.70708007,0.70701116
GameRot,165465946210803,1684642340164,0.012636677,0.0036143446,0.70707786,0.70701355
GameRot,165465951293303,1684642340169,0.012605024,0.0036326512,0.7070779,0.707014
GameRot,165465953789918,1684642340172,0.012571684,0.0036438394,0.7070779,0.7070145
GameRot,165465959769241,1684642340178,0.01254688,0.0036559927,0.7070779,0.70701486
GameRot,165465963260907,1684642340181,0.012529101,0.0036699893,0.707078,0.7070151
GameRot,165465969215543,1684642340187,0.012525354,0.003662978,0.70707804,0.70701516
GameRot,165465973337053,1684642340192,0.012516312,0.003652861,0.7070787,0.7070147
GameRot,165465981672314,1684642340200,0.01248428,0.003636776,0.7070794,0.7070146
GameRot,165465983321116,1684642340201,0.0124876965,0.003617562,0.70708317,0.7070109
GameRot,165465989932209,1684642340208,0.012488241,0.003605434,0.70708907,0.707005
GameRot,165465992827626,1684642340211,0.012470955,0.0036129002,0.70709354,0.70700085
GameRot,165466000037522,1684642340218,0.012466636,0.0036214527,0.70710075,0.70699364
GameRot,165466002701116,1684642340221,0.012477564,0.0036357958,0.70710576,0.70698833
GameRot,165466008754970,1684642340227,0.012485018,0.0036511307,0.70710874,0.7069852
GameRot,165466012909032,1684642340231,0.012517845,0.0036463658,0.70711595,0.7069774
GameRot,165466017954032,1684642340236,0.012582847,0.0036223428,0.70712286,0.7069695
GameRot,165466022471220,1684642340241,0.012645227,0.0035834138,0.70713013,0.7069614
GameRot,165466028013772,1684642340246,0.012702659,0.0035552287,0.70713484,0.7069557
GameRot,165466032505126,1684642340251,0.012751867,0.0035393918,0.7071381,0.7069516
GameRot,165466038324866,1684642340256,0.012769954,0.0035649957,0.70714194,0.7069473
GameRot,165466042596064,1684642340261,0.012775044,0.0036002889,0.7071437,0.70694524
GameRot,165466047562314,1684642340266,0.012813829,0.0036350659,0.70714563,0.7069425
GameRot,165466051954293,1684642340270,0.013017468,0.003377823,0.70715344,0.70693225
GameRot,165466059191220,1684642340277,0.013131757,0.00331984,0.7071563,0.7069276
GameRot,165466062210907,1684642340280,0.012998257,0.0035323284,0.7071346,0.70695066
GameRot,165466067466324,1684642340286,0.013006186,0.0036265138,0.70714253,0.7069421
GameRot,165466072070439,1684642340290,0.012841222,0.0036747726,0.70714074,0.7069466
GameRot,165466076940022,1684642340295,0.01236792,0.0036902877,0.7071284,0.70696735
GameRot,165466082282470,1684642340300,0.012342243,0.0035984237,0.70715064,0.7069461
GameRot,165466086635751,1684642340305,0.012635004,0.0033758585,0.70718396,0.7069086
GameRot,165466091690126,1684642340310,0.012666544,0.00323317,0.7071959,0.70689684
GameRot,165466096696168,1684642340315,0.012686995,0.0031687918,0.7072197,0.7068728
GameRot,165466102164814,1684642340320,0.012789191,0.0031908248,0.70725125,0.7068394
GameRot,165466106279241,1684642340324,0.01269636,0.0034530174,0.70725733,0.70683384
GameRot,165466112112001,1684642340330,0.012470014,0.003793024,0.7072679,0.7068255
GameRot,165466119997470,1684642340338,0.012419985,0.003929466,0.7073267,0.7067668
GameRot,165466121642991,1684642340340,0.012667666,0.0037923488,0.7073267,0.70676315
GameRot,165466126345230,1684642340345,0.013026929,0.0034268163,0.70735633,0.7067288
GameRot,165466131685022,1684642340350,0.013275309,0.0030580156,0.70738226,0.7066999
GameRot,165466136553511,1684642340355,0.013391849,0.0028997026,0.70740354,0.7066771
GameRot,165466141583720,1684642340360,0.01343563,0.0030154947,0.7074211,0.7066582
GameRot,165466146340907,1684642340365,0.013356139,0.0033926754,0.7074314,0.70664775
GameRot,165466151284866,1684642340369,0.013244,0.0038030683,0.7074499,0.70662916
GameRot,165466156274501,1684642340374,0.013269257,0.004061932,0.7074691,0.70660806
GameRot,165466160890855,1684642340379,0.013465532,0.0040571885,0.7074833,0.7065901
GameRot,165466166352730,1684642340385,0.01374322,0.0037566482,0.7074908,0.7065789
GameRot,165466171027053,1684642340389,0.01394679,0.0033967441,0.7074904,0.70657724
GameRot,165466175623980,1684642340394,0.01411927,0.0031459068,0.70749253,0.7065728
GameRot,165466180765022,1684642340399,0.014281016,0.0030097305,0.70749927,0.70656335
GameRot,165466185698251,1684642340404,0.014280532,0.0030791392,0.7075001,0.7065623
GameRot,165466190825282,1684642340409,0.01419273,0.003240073,0.7075008,0.7065625
GameRot,165466195863303,1684642340414,0.013906,0.0035288616,0.7074965,0.7065712
GameRot,165466200698043,1684642340419,0.01334072,0.0040321313,0.7074742,0.70660174
GameRot,165466205617939,1684642340424,0.012871322,0.0043620276,0.7074773,0.70660543
GameRot,165466210900282,1684642340429,0.012673018,0.0042207143,0.70751196,0.7065752
GameRot,165466220292782,1684642340438,0.012492326,0.0038128428,0.70755076,0.70654184
GameRot,165466220746793,1684642340439,0.012484716,0.0033316219,0.7076041,0.70649093
GameRot,165466225111168,1684642340443,0.012785494,0.0029841112,0.7076662,0.7064249
GameRot,165466230554189,1684642340449,0.013084858,0.0029331644,0.70772237,0.70636344
GameRot,165466234808459,1684642340453,0.013186082,0.0031890413,0.7077662,0.70631653
GameRot,165466240586168,1684642340459,0.013180949,0.0036553056,0.7077988,0.70628166
