UncalGyro,elapsedRealtimeNanos,utcTimeMillis,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
UGys,165465543318199,1684642339761,-0.006413896,-0.015271181,0.0036650836,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465543360335,1684642339762,-0.005803049,-0.012827792,0.004886778,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465543431793,1684642339762,-0.0045813546,-0.009162709,0.0061084726,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465543467314,1684642339762,-0.0045813546,-0.007941014,0.004886778,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465543646428,1684642339762,-0.005803049,-0.009162709,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465548016116,1684642339766,-0.003970507,-0.007330167,0.004886778,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465548035230,1684642339766,-0.0045813546,-0.009773556,0.007330167,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465551775543,1684642339770,-0.0070247436,-0.01099525,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465551805543,1684642339770,-0.0076355906,-0.011606098,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465552849762,1684642339771,-0.0076355906,-0.016492875,0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465555329293,1684642339774,-0.006413896,-0.016492875,0.004275931,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465558861064,1684642339777,-0.0070247436,-0.017103724,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465560014345,1684642339778,-0.008246438,-0.017714571,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465562526376,1684642339781,-0.0070247436,-0.017103724,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465565107053,1684642339783,-0.0045813546,-0.016492875,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465568939866,1684642339787,-0.0045813546,-0.01343864,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465570008980,1684642339788,-0.0051922016,-0.009773556,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465572752783,1684642339791,-0.0045813546,-0.009773556,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465575009449,1684642339793,-0.003970507,-0.007330167,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465578300543,1684642339796,-0.0045813546,-0.008551862,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465581090230,1684642339799,-0.0045813546,-0.007941014,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465582738199,1684642339801,-0.0045813546,-0.007941014,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465584636428,1684642339803,-0.0045813546,-0.012827792,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465587471949,1684642339806,-0.005803049,-0.01343864,0.0036650836,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465591095803,1684642339809,-0.0051922016,-0.01343864,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465592656741,1684642339811,-0.005803049,-0.017714571,0.0036650836,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465594717053,1684642339813,-0.0051922016,-0.015882028,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465600150230,1684642339818,-0.0051922016,-0.015882028,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465600210439,1684642339818,-0.0045813546,-0.018325418,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465602543876,1684642339821,-0.006413896,-0.017103724,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465604696012,1684642339823,-0.006413896,-0.014660334,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465607972939,1684642339826,-0.0051922016,-0.015882028,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465610268355,1684642339828,-0.0045813546,-0.014660334,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465612211220,1684642339830,-0.0051922016,-0.01343864,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465615736012,1684642339834,-0.0051922016,-0.014049487,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465618851272,1684642339837,-0.003970507,-0.012216945,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465619424189,1684642339838,-0.0021379655,-0.01099525,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465621963772,1684642339840,-0.003970507,-0.011606098,0.004275931,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465624269449,1684642339842,-0.003970507,-0.012216945,0.004275931,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465626803772,1684642339845,-0.00335966,-0.014049487,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465629215074,1684642339847,-0.003970507,-0.015271181,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465631526585,1684642339850,-0.0045813546,-0.015271181,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465634106376,1684642339852,-0.0051922016,-0.017103724,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465636840074,1684642339855,-0.0051922016,-0.018325418,0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465639045647,1684642339857,-0.005803049,-0.015271181,0.0036650836,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465641634241,1684642339860,-0.0045813546,-0.015882028,0.0036650836,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465643978824,1684642339862,-0.005803049,-0.015882028,0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465646786376,1684642339865,-0.0045813546,-0.015882028,0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465649308980,1684642339867,-0.00335966,-0.014049487,0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465651863668,1684642339870,-0.00335966,-0.012827792,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465653973303,1684642339872,-0.0051922016,-0.009773556,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465656407158,1684642339875,-0.003970507,-0.012216945,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465658994189,1684642339877,-0.003970507,-0.01099525,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465661494710,1684642339880,-0.0045813546,-0.009773556,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465664146116,1684642339882,-0.006413896,-0.014049487,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465666577730,1684642339885,-0.0051922016,-0.015271181,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465668590543,1684642339887,-0.006413896,-0.015271181,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465671129241,1684642339889,-0.006413896,-0.017714571,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465673981793,1684642339892,-0.006413896,-0.017714571,0.0018325418,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465676452314,1684642339895,-0.005803049,-0.015882028,0.002443389,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465679686532,1684642339898,-0.006413896,-0.015882028,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465681163928,1684642339899,-0.0051922016,-0.012827792,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465683533043,1684642339902,-0.003970507,-0.011606098,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465686184032,1684642339904,-0.003970507,-0.01099525,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465689630022,1684642339908,-0.005803049,-0.009162709,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465691699918,1684642339910,-0.006413896,-0.007330167,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465693752105,1684642339912,-0.003970507,-0.005497625,-6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465696338564,1684642339915,-0.003970507,-0.0061084726,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465698936220,1684642339917,-0.0051922016,-0.007330167,-6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465700849189,1684642339919,-0.0045813546,-0.009773556,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465703496064,1684642339922,-0.0051922016,-0.010384403,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465706181324,1684642339924,-0.005803049,-0.01099525,-0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465709637053,1684642339928,-0.006413896,-0.012216945,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465711369501,1684642339930,-0.006413896,-0.01343864,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465713179918,1684642339931,-0.008857286,-0.012216945,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465715832105,1684642339934,-0.0070247436,-0.012827792,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465719292626,1684642339937,-0.006413896,-0.01099525,-0.0030542363,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465720491689,1684642339939,-0.008246438,-0.011606098,-0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465723036585,1684642339941,-0.009468133,-0.011606098,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465726090855,1684642339944,-0.0070247436,-0.012216945,-6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465729621480,1684642339948,-0.006413896,-0.012216945,-6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465730883616,1684642339949,-0.006413896,-0.008551862,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465733339866,1684642339952,-0.0076355906,-0.010384403,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465735563980,1684642339954,-0.006413896,-0.010384403,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465739194293,1684642339957,-0.0070247436,-0.01099525,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465740533928,1684642339959,-0.0070247436,-0.008551862,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465743017522,1684642339961,-0.008246438,-0.010384403,0.0012216945,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465745275751,1684642339963,-0.0070247436,-0.01099525,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465751612418,1684642339970,-0.0070247436,-0.01099525,-0.0,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465751636637,1684642339970,-0.008246438,-0.007941014,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
UGys,165465752779501,1684642339971,-0.0076355906,-0.009773556,6.1084726E-4,-0.0036277461,-0.013730269,9.633014E-4
