Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,165526555742447,1684642400774,0.1710629,0.22429079,0.79165965,0.5419466
Rot,165526565324582,1684642400783,0.171078,0.2242795,0.7916607,0.541945
Rot,165526565475676,1684642400784,0.17111818,0.22428106,0.7916313,0.5419746
Rot,165526575909374,1684642400794,0.17123961,0.22426705,0.7915185,0.54210675
Rot,165526576011509,1684642400794,0.17128162,0.22425933,0.79149634,0.54212904
Rot,165526585136822,1684642400803,0.17129853,0.22423393,0.79152864,0.542087
Rot,165526585524530,1684642400804,0.17136778,0.22423783,0.79147935,0.54213554
Rot,165526595130572,1684642400813,0.17141545,0.22425744,0.7914574,0.5421444
Rot,165526595317291,1684642400813,0.17139663,0.22429165,0.791484,0.54209733
Rot,165526605726405,1684642400824,0.17141128,0.22430225,0.7914861,0.5420853
Rot,165526605748436,1684642400824,0.1716406,0.22420757,0.7913419,0.5422624
Rot,165526617444061,1684642400836,0.1719401,0.22408526,0.7911236,0.54253644
Rot,165526617454009,1684642400836,0.17209366,0.22403112,0.7909925,0.5427013
Rot,165526624809061,1684642400843,0.17217652,0.22400174,0.79093355,0.54277307
Rot,165526624821822,1684642400843,0.1723632,0.2239176,0.7908126,0.5429247
Rot,165526634607915,1684642400853,0.17264217,0.22380961,0.7905931,0.54320025
Rot,165526634638905,1684642400853,0.1728227,0.22369045,0.7905093,0.5433139
Rot,165526644419218,1684642400863,0.17305672,0.22354163,0.7904037,0.5434542
Rot,165526644439738,1684642400863,0.1733617,0.2234077,0.7901932,0.5437182
Rot,165526654512655,1684642400873,0.17348062,0.22335765,0.79014546,0.5437702
Rot,165526654528593,1684642400873,0.17366852,0.22325706,0.7900626,0.5438718
Rot,165526664570936,1684642400883,0.17406148,0.22310634,0.78975326,0.5442573
Rot,165526664603176,1684642400883,0.17441723,0.22295433,0.7894702,0.54461616
Rot,165526674645780,1684642400893,0.17464398,0.22286552,0.7892482,0.54490155
Rot,165526674683176,1684642400893,0.17489459,0.22276513,0.78901076,0.545206
Rot,165526684531145,1684642400903,0.17521325,0.22265781,0.78869396,0.5456058
