UncalGyro,elapsedRealtimeNanos,utcTimeMillis,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
UGys,156923042884865,1684633797261,-0.32413083,0.012827792,0.12949961,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923043016063,1684633797261,-0.29969692,0.0219905,0.14171657,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923047989709,1684633797266,-0.27526304,0.028709821,0.15393351,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923048055490,1684633797266,-0.24899662,0.039094225,0.16309622,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923057381532,1684633797276,-0.22334103,0.050089475,0.17286977,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923058112470,1684633797276,-0.19768545,0.060473878,0.17897825,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923058137053,1684633797276,-0.17630579,0.06963659,0.18569757,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923059447678,1684633797278,-0.15370443,0.080020994,0.19058435,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923059466168,1684633797278,-0.13171394,0.087962,0.19486028,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923061096636,1684633797279,-0.11338852,0.09529217,0.19974706,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923062092730,1684633797280,-0.095063105,0.10323319,0.20280129,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923064845855,1684633797283,-0.07857023,0.105065726,0.20402299,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923066995334,1684633797285,-0.063909896,0.10995251,0.20280129,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923069423772,1684633797288,-0.05222744,0.11178505,0.2003579,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923071701220,1684633797290,-0.04123219,0.11178505,0.19424942,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923074474188,1684633797293,-0.033291176,0.1111742,0.18753012,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923077054970,1684633797295,-0.025961008,0.10934166,0.17897825,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923079311793,1684633797297,-0.022906773,0.10445488,0.16615045,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923081770803,1684633797300,-0.022295926,0.09834641,0.15332267,-0.0030298405,-0.016549386,-0.0017614996
UGys,156923085247730,1684633797303,-0.022906773,0.092848785,0.13988402,-0.0030298405,-0.016549386,-0.0017614996
